URI,rdf:type,rico:hasCarrierType,dcterms:format,schema:url,owl:sameAs
<http://data.qdmtl.ca/record/VM094-C196-0016/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177862/VM94C196-0016.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0017/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0017/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177778/VM94C196-0017.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0018/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0018/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177838/VM94C196-0018.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0019/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0019/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177758/VM94C196-0019.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0020/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0020/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177818/VM94C196-0020.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0021/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0021/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177738/VM94C196-0021.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0022/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0022/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177866/VM94C196-0022.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0023/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0023/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177742/VM94C196-0023.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0024/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0024/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177730/VM94C196-0024.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0025/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0025/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177854/VM94C196-0025.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0026/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0026/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177814/VM94C196-0026.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0027/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0027/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177810/VM94C196-0027.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0028/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0028/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177834/VM94C196-0028.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0029/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
<http://data.qdmtl.ca/record/VM094-C196-0029/i/02>,rico:Instantiation,vocab:digitalFile,vocab:jpeg,"""http://archivesdemontreal.ica-atom.org/uploads/r/ville-de-montreal-section-des-archives/1/7/177830/VM94C196-0029.jpg""",
<http://data.qdmtl.ca/record/VM094-C196-0030/i/01>,rico:Instantiation,vocab:blackAndWhitePhotoprint,,,
