URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM094-C196-0027>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0027/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0027/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0027>,"""VM094-C196-0027""","""VM094-C196-0027""",,,"""9""","""VM094-C196-0027"""
<http://data.qdmtl.ca/record/VM094-C196-0028>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0028/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0028/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0028>,"""VM094-C196-0028""","""VM094-C196-0028""",,,"""9""","""VM094-C196-0028"""
<http://data.qdmtl.ca/record/VM094-C196-0029>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0029/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0029/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0029>,"""VM094-C196-0029""","""VM094-C196-0029""",,,"""9""","""VM094-C196-0029"""
<http://data.qdmtl.ca/record/VM094-C196-0030>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0030/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0030/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0030>,"""VM094-C196-0030""","""VM094-C196-0030""",,,"""9""","""VM094-C196-0030"""
<http://data.qdmtl.ca/record/VM094-C196-0031>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0031/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0031/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0031>,"""VM094-C196-0031""","""VM094-C196-0031""",,,"""9""","""VM094-C196-0031"""
<http://data.qdmtl.ca/record/VM094-C196-0032>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0032/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0032/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0032>,"""VM094-C196-0032""","""VM094-C196-0032""",,,"""9""","""VM094-C196-0032"""
<http://data.qdmtl.ca/record/VM094-C196-0033>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0033/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0033/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0033>,"""VM094-C196-0033""","""VM094-C196-0033""",,,"""9""","""VM094-C196-0033"""
<http://data.qdmtl.ca/record/VM094-C196-0034>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0034/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0034/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0034>,"""VM094-C196-0034""","""VM094-C196-0034""",,,"""9""","""VM094-C196-0034"""
<http://data.qdmtl.ca/record/VM094-C196-0035>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0035/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0035/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0035>,"""VM094-C196-0035""","""VM094-C196-0035""",,,"""9""","""VM094-C196-0035"""
<http://data.qdmtl.ca/record/VM094-C196-0036>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0036/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0036/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0036>,"""VM094-C196-0036""","""VM094-C196-0036""",,,"""9""","""VM094-C196-0036"""
