URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM094-C196-0080>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0080/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0080/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0080>,"""VM094-C196-0080""","""VM094-C196-0080""",,,"""9""","""VM094-C196-0080"""
<http://data.qdmtl.ca/record/VM094-C196-0081>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0081/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0081/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0081>,"""VM094-C196-0081""","""VM094-C196-0081""",,,"""9""","""VM094-C196-0081"""
<http://data.qdmtl.ca/record/VM094-C196-0082>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0082/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0082/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0082>,"""VM094-C196-0082""","""VM094-C196-0082""",,,"""9""","""VM094-C196-0082"""
<http://data.qdmtl.ca/record/VM094-C196-0083>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0083/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0083/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0083>,"""VM094-C196-0083""","""VM094-C196-0083""",,,"""9""","""VM094-C196-0083"""
<http://data.qdmtl.ca/record/VM094-C196-0084>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0084/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0084/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0084>,"""VM094-C196-0084""","""VM094-C196-0084""",,,"""6""","""VM094-C196-0084"""
<http://data.qdmtl.ca/record/VM094-C196-0085>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0085/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0085/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0085>,"""VM094-C196-0085""","""VM094-C196-0085""",,,"""5""","""VM094-C196-0085"""
<http://data.qdmtl.ca/record/VM094-C196-0086>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0086/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0086/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0086>,"""VM094-C196-0086""","""VM094-C196-0086""",,,"""5""","""VM094-C196-0086"""
<http://data.qdmtl.ca/record/VM094-C196-0087>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0087/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0087/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0087>,"""VM094-C196-0087""","""VM094-C196-0087""",,,"""5""","""VM094-C196-0087"""
<http://data.qdmtl.ca/record/VM094-C196-0088>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0088/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0088/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0088>,"""VM094-C196-0088""","""VM094-C196-0088""",,,"""5""","""VM094-C196-0088"""
<http://data.qdmtl.ca/record/VM094-C196-0089>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0089/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0089/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0089>,"""VM094-C196-0089""","""VM094-C196-0089""",,,"""4""","""VM094-C196-0089"""
<http://data.qdmtl.ca/record/VM094-C196-0090>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0090/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0090/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0090>,"""VM094-C196-0090""","""VM094-C196-0090""",,,"""4""","""VM094-C196-0090"""
<http://data.qdmtl.ca/record/VM094-C196-0091>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0091/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0091/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0091>,"""VM094-C196-0091""","""VM094-C196-0091""",,,"""4""","""VM094-C196-0091"""
<http://data.qdmtl.ca/record/VM094-C196-0092>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0092/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0092/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0092>,"""VM094-C196-0092""","""VM094-C196-0092""",,,"""4""","""VM094-C196-0092"""
<http://data.qdmtl.ca/record/VM094-C196-0093>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0093/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0093/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0093>,"""VM094-C196-0093""","""VM094-C196-0093""",,,"""3""","""VM094-C196-0093"""
<http://data.qdmtl.ca/record/VM094-C196-0094>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0094/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0094/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0094>,"""VM094-C196-0094""","""VM094-C196-0094""",,,"""3""","""VM094-C196-0094"""
<http://data.qdmtl.ca/record/VM094-C196-0095>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0095/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0095/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0095>,"""VM094-C196-0095""","""VM094-C196-0095""",,,"""3""","""VM094-C196-0095"""
<http://data.qdmtl.ca/record/VM094-C196-0096>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0096/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0096/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0096>,"""VM094-C196-0096""","""VM094-C196-0096""",,,"""8""","""VM094-C196-0096"""
<http://data.qdmtl.ca/record/VM094-C196-0097>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0097/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0097/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0097>,"""VM094-C196-0097""","""VM094-C196-0097""",,,"""8""","""VM094-C196-0097"""
<http://data.qdmtl.ca/record/VM094-C196-0098>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0098/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0098/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0098>,"""VM094-C196-0098""","""VM094-C196-0098""",,,"""8""","""VM094-C196-0098"""
<http://data.qdmtl.ca/record/VM094-C196-0099>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0099/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0099/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0099>,"""VM094-C196-0099""","""VM094-C196-0099""",,,"""7""","""VM094-C196-0099"""
<http://data.qdmtl.ca/record/VM094-C196-0100>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0100/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0100/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0100>,"""VM094-C196-0100""","""VM094-C196-0100""",,,"""7""","""VM094-C196-0100"""
